establishment_name,establishment_type,establishment_address,inspection_date,establishment_status,min_inspections_per_year,severity,action
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2022-08-22,Pass,2,S - Significant,Corrected During Inspection
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2022-09-07,Pass,2,M - Minor,Notice to Comply
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2023-04-03,Pass,2,NA - Not Applicable,Notice to Comply
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2023-12-08,Pass,2,NA - Not Applicable,Notice to Comply
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2023-12-08,Pass,2,M - Minor,Notice to Comply
1000 VARIETY,Food Store (Convenience/Variety),1000 PAPE AVE,2022-08-12,Pass,1,M - Minor,Notice to Comply
10168734 CANADA INC.,Food Processing Plant,"50 WEYBRIGHT CRT, Unit-40",2022-09-13,Pass,3,S - Significant,Notice to Comply
10168734 CANADA INC.,Food Processing Plant,"50 WEYBRIGHT CRT, Unit-40",2022-09-13,Pass,3,S - Significant,Notice to Comply
10168734 CANADA INC.,Food Processing Plant,"50 WEYBRIGHT CRT, Unit-40",2022-09-13,Pass,3,M - Minor,Notice to Comply
10tation Event Catering,Food Caterer,232 NORSEMAN ST,2022-09-08,Pass,3,M - Minor,Corrected During Inspection
10tation Event Catering,Food Caterer,232 NORSEMAN ST,2023-10-03,Pass,3,M - Minor,Notice to Comply
10tation Event Catering,Food Caterer,232 NORSEMAN ST,2023-10-03,Pass,3,S - Significant,Corrected During Inspection
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-10-05,Pass,3,M - Minor,Notice to Comply
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-10-05,Pass,3,M - Minor,Notice to Comply
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-10-05,Pass,3,S - Significant,Notice to Comply
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-10-05,Pass,3,M - Minor,Notice to Comply
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-10-05,Pass,3,M - Minor,Notice to Comply
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2024-01-18,Pass,3,M - Minor,Notice to Comply
11:59,Restaurant,"70 TEMPERANCE ST, Unit-1",2023-09-15,Pass,3,S - Significant,Corrected During Inspection
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,S - Significant,Corrected During Inspection
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,M - Minor,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,S - Significant,Corrected During Inspection
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,M - Minor,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,M - Minor,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,M - Minor,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,NA - Not Applicable,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,S - Significant,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,S - Significant,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,S - Significant,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,NA - Not Applicable,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,M - Minor,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,S - Significant,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,M - Minor,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-12-21,Pass,3,S - Significant,Corrected During Inspection
12 TABLES,Restaurant,1552 AVENUE RD,2023-12-21,Pass,3,M - Minor,Notice to Comply
1265 BISTRO,Restaurant,"1265 MILITARY TRL, Flr-BASEMENT",2022-12-13,Pass,2,S - Significant,Corrected During Inspection
156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,2022-07-14,Pass,2,M - Minor,Notice to Comply
156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,2022-09-29,Pass,2,M - Minor,Notice to Comply
156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,2022-09-29,Pass,2,M - Minor,Notice to Comply
156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,2023-02-22,Pass,2,NA - Not Applicable,Notice to Comply
156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,2023-02-22,Pass,2,S - Significant,Corrected During Inspection
156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,2023-02-22,Pass,2,M - Minor,Notice to Comply
1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1",2022-09-22,Pass,2,C - Crucial,Notice to Comply
1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1",2022-09-22,Pass,2,S - Significant,Notice to Comply
1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1",2022-09-22,Pass,2,S - Significant,Notice to Comply
1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1",2022-09-22,Pass,2,S - Significant,Notice to Comply
1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1",2023-06-20,Pass,2,M - Minor,Notice to Comply
1775111 ONTARIO LIMITED,Bakery,2242 KINGSTON RD,2022-11-04,Pass,2,M - Minor,Notice to Comply
1775111 ONTARIO LIMITED,Bakery,2242 KINGSTON RD,2022-11-04,Pass,2,M - Minor,Notice to Comply
18 FEET,Restaurant,364 HURON ST,2023-01-19,Pass,2,S - Significant,Corrected During Inspection
18 FEET,Restaurant,364 HURON ST,2024-01-09,Pass,2,S - Significant,Notice to Comply
1858 BISTRO,Cafeteria - Private Access,8 ADELAIDE ST W,2022-10-27,Pass,3,M - Minor,Corrected During Inspection
1858 BISTRO,Cafeteria - Private Access,8 ADELAIDE ST W,2023-03-30,Pass,3,M - Minor,Notice to Comply
19 EATERY,Restaurant,19C FINCH AVE W,2022-09-23,Pass,3,M - Minor,Notice to Comply
19 EATERY,Restaurant,19C FINCH AVE W,2023-02-16,Pass,3,C - Crucial,Notice to Comply
19 EATERY,Restaurant,19C FINCH AVE W,2023-02-16,Pass,3,C - Crucial,Notice to Comply
19 EATERY,Restaurant,19C FINCH AVE W,2023-02-16,Pass,3,C - Crucial,Notice to Comply
19 EATERY,Restaurant,19C FINCH AVE W,2023-07-31,Pass,3,S - Significant,Corrected During Inspection
19 EATERY,Restaurant,19C FINCH AVE W,2023-07-31,Pass,3,S - Significant,Corrected During Inspection
19 EATERY,Restaurant,19C FINCH AVE W,2023-07-31,Pass,3,M - Minor,Corrected During Inspection
19 EATERY,Restaurant,19C FINCH AVE W,2023-12-04,Pass,3,M - Minor,Corrected During Inspection
19 EATERY,Restaurant,19C FINCH AVE W,2023-12-04,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,S - Significant,Corrected During Inspection
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,S - Significant,Corrected During Inspection
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,S - Significant,Corrected During Inspection
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-04-03,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-04-03,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-04-03,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-07-01,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-07-01,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-07-01,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-12-01,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-12-01,Pass,3,M - Minor,Notice to Comply
19TH HOLE GRILL,Restaurant,550 CENTENNIAL PARK BLVD,2023-04-17,Pass,2,M - Minor,Notice to Comply
19TH HOLE GRILL,Restaurant,550 CENTENNIAL PARK BLVD,2023-08-01,Pass,2,M - Minor,Notice to Comply
19TH HOLE SPORTS BAR AND GRILL,Restaurant,434 ROGERS RD,2022-06-15,Pass,2,M - Minor,Notice to Comply
2 4 1 Pizza,Food Take Out,1383 DAVENPORT RD,2022-08-08,Pass,2,M - Minor,Notice to Comply
2 4 1 Pizza,Food Take Out,1383 DAVENPORT RD,2023-01-17,Pass,2,M - Minor,Notice to Comply
2 4 1 Pizza,Food Take Out,1383 DAVENPORT RD,2024-01-16,Pass,2,NA - Not Applicable,Notice to Comply
2 BROS CUISINE,Food Take Out,"1500 ROYAL YORK RD, UNIT-34",2023-01-09,Pass,2,M - Minor,Notice to Comply
2 BROS CUISINE,Food Take Out,"1500 ROYAL YORK RD, UNIT-34",2023-07-05,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2022-05-26,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2022-05-26,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2022-10-27,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2022-10-27,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2022-10-27,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2023-08-30,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2023-08-30,Pass,2,NA - Not Applicable,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2023-08-30,Pass,2,S - Significant,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2023-08-30,Pass,2,S - Significant,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2023-08-30,Pass,2,S - Significant,Corrected During Inspection
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2023-08-28,Pass,3,S - Significant,Corrected During Inspection
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2023-08-28,Pass,3,NA - Not Applicable,Notice to Comply
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2023-08-28,Pass,3,M - Minor,Notice to Comply
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2023-08-28,Pass,3,S - Significant,Corrected During Inspection
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2023-08-28,Pass,3,S - Significant,Corrected During Inspection
2-4-1 PIZZA,Food Take Out,759 JANE ST,2022-05-05,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-03-15,Pass,2,NA - Not Applicable,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,"1468 QUEEN ST W, Unit-2",2022-06-27,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,"1468 QUEEN ST W, Unit-2",2022-06-27,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,"1468 QUEEN ST W, Unit-2",2022-08-29,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,"1468 QUEEN ST W, Unit-2",2023-03-20,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,"1468 QUEEN ST W, Unit-2",2023-11-27,Pass,2,NA - Not Applicable,Notice to Comply
2-4-1 PIZZA,Food Take Out,"1468 QUEEN ST W, Unit-2",2023-11-27,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,1756 LAWRENCE AVE E,2023-04-25,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,1756 LAWRENCE AVE E,2023-04-25,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,1756 LAWRENCE AVE E,2023-04-25,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,1756 LAWRENCE AVE E,2023-04-25,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,1756 LAWRENCE AVE E,2023-09-28,Pass,2,NA - Not Applicable,Notice to Comply
2-4-1 PIZZA,Food Take Out,1756 LAWRENCE AVE E,2023-09-28,Pass,2,S - Significant,Corrected During Inspection
2-4-1 PIZZA,Food Take Out,1756 LAWRENCE AVE E,2023-09-28,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,1756 LAWRENCE AVE E,2023-09-28,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,1756 LAWRENCE AVE E,2023-09-28,Pass,2,C - Crucial,Notice to Comply
2-4-1 PIZZA,Food Take Out,"2372 EGLINTON AVE E, Unit-1",2022-10-20,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,2834 VICTORIA PARK AVE,2023-02-27,Pass,3,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,2834 VICTORIA PARK AVE,2023-10-16,Pass,3,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,2834 VICTORIA PARK AVE,2023-10-16,Pass,3,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,2834 VICTORIA PARK AVE,2023-10-16,Pass,3,S - Significant,Notice to Comply
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2022-04-11,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2022-04-11,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2022-04-11,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2022-04-11,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2022-04-11,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2022-04-11,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2023-09-29,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2023-09-29,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2024-01-18,Pass,2,S - Significant,Corrected During Inspection
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2024-01-18,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2024-01-18,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2024-01-18,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA #37,Food Take Out,1055 BLOOR ST W,2024-01-18,Pass,2,M - Minor,Notice to Comply
21 SEVEN MARKET,Food Store (Convenience/Variety),1000 BLOOR ST W,2022-08-15,Pass,2,M - Minor,Notice to Comply
220 - INFIELD CLASSICS,Food Take Out,1 BLUE JAYS WAY,2023-07-20,Pass,2,M - Minor,Notice to Comply
224-TD CLUBHOUSE,Food Take Out,1 BLUE JAYS WAY,2022-06-16,Pass,2,M - Minor,Notice to Comply
225 MORNINGSIDE FOOD BANK,Food Bank,225 MORNINGSIDE AVE,2022-09-30,Pass,2,S - Significant,Notice to Comply
225 MORNINGSIDE FOOD BANK,Food Bank,225 MORNINGSIDE AVE,2022-09-30,Pass,2,C - Crucial,Notice to Comply
225 MORNINGSIDE FOOD BANK,Food Bank,225 MORNINGSIDE AVE,2023-05-10,Pass,2,NA - Not Applicable,Notice to Comply
225 MORNINGSIDE FOOD BANK,Food Bank,225 MORNINGSIDE AVE,2023-05-10,Pass,2,S - Significant,Corrected During Inspection
228 - INFIELD CLASSICS,Food Take Out,1 BLUE JAYS WAY,2023-07-20,Pass,2,M - Minor,Notice to Comply
228 - INFIELD CLASSICS,Food Take Out,1 BLUE JAYS WAY,2023-07-20,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,142 PARLIAMENT ST,2022-01-24,Pass,3,S - Significant,Notice to Comply
241 PIZZA,Food Take Out,142 PARLIAMENT ST,2022-12-20,Pass,3,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,142 PARLIAMENT ST,2022-12-20,Pass,3,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,142 PARLIAMENT ST,2023-04-18,Pass,3,NA - Not Applicable,Notice to Comply
241 PIZZA,Food Take Out,142 PARLIAMENT ST,2023-04-18,Pass,3,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,142 PARLIAMENT ST,2023-08-21,Pass,3,NA - Not Applicable,Notice to Comply
241 PIZZA,Food Take Out,142 PARLIAMENT ST,2023-08-21,Pass,3,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,142 PARLIAMENT ST,2023-10-18,Pass,3,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,142 PARLIAMENT ST,2024-01-16,Pass,3,M - Minor,Notice to Comply
241 PIZZA,Restaurant,1349 ST CLAIR AVE W,2023-08-25,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Restaurant,1349 ST CLAIR AVE W,2023-08-25,Pass,2,NA - Not Applicable,Notice to Comply
241 PIZZA,Restaurant,1349 ST CLAIR AVE W,2023-08-25,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Restaurant,1349 ST CLAIR AVE W,2023-08-25,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Restaurant,1349 ST CLAIR AVE W,2023-08-25,Pass,2,S - Significant,Corrected During Inspection
241 PIZZA,Restaurant,1349 ST CLAIR AVE W,2024-01-22,Pass,2,NA - Not Applicable,Notice to Comply
241 PIZZA,Restaurant,1349 ST CLAIR AVE W,2024-01-22,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,451 PARLIAMENT ST,2022-08-16,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,451 PARLIAMENT ST,2023-07-17,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,"1 YORK GATE BLVD, Unit-144A",2022-08-10,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,"1 YORK GATE BLVD, Unit-144A",2023-01-20,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,"1 YORK GATE BLVD, Unit-144A",2023-01-20,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,"1 YORK GATE BLVD, Unit-144A",2023-07-04,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,"1 YORK GATE BLVD, Unit-144A",2023-07-04,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,1029 PAPE AVE,2022-06-29,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,1029 PAPE AVE,2023-10-27,Pass,2,S - Significant,Corrected During Inspection
241 PIZZA,Food Take Out,1029 PAPE AVE,2023-10-27,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,"235 DIXON RD, Unit-8",2022-05-20,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,"235 DIXON RD, Unit-8",2022-05-20,Pass,2,S - Significant,Notice to Comply
241 PIZZA,Food Take Out,"235 DIXON RD, Unit-8",2022-05-20,Pass,2,S - Significant,Notice to Comply
241 PIZZA,Food Take Out,"235 DIXON RD, Unit-8",2022-05-20,Pass,2,S - Significant,Notice to Comply
241 PIZZA,Food Take Out,"235 DIXON RD, Unit-8",2022-11-22,Pass,2,S - Significant,Corrected During Inspection
241 PIZZA,Food Take Out,"235 DIXON RD, Unit-8",2022-11-22,Pass,2,S - Significant,Corrected During Inspection
241 PIZZA,Food Take Out,"235 DIXON RD, Unit-8",2022-11-22,Pass,2,M - Minor,Notice to Comply
241 PIZZA,Food Take Out,"235 DIXON RD, Unit-8",2022-11-22,Pass,2,S - Significant,Corrected During Inspection
241 PIZZA,Food Take Out,"235 DIXON RD, Unit-8",2023-04-13,Pass,2,M - Minor,Notice to Comply
