establishment_name,establishment_type,establishment_address,inspection_date,establishment_status,min_inspections_per_year,severity,action
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,S - Significant,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,S - Significant,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,NA - Not Applicable,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,C - Crucial,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-04,Pass,3,S - Significant,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-13,Pass,3,NA - Not Applicable,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-04-13,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-07-24,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-07-24,Pass,3,NA - Not Applicable,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-07-24,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-07-24,Pass,3,M - Minor,Closure Order
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-10-31,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-10-31,Pass,3,S - Significant,Corrected During Inspection
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-10-31,Pass,3,M - Minor,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-10-31,Pass,3,NA - Not Applicable,Notice to Comply
# HASHTAG INDIA RESTAURANT,Food Take Out,1871 O'CONNOR DR,2023-10-31,Pass,3,S - Significant,Corrected During Inspection
'K' STORE,Food Store (Convenience/Variety),99 CARLTON ST,2022-11-21,Pass,1,,
0109 Dessert + Chocolate,Restaurant,"2190 MCNICOLL AVE, -109",2022-11-07,Pass,2,,
0109 Dessert + Chocolate,Restaurant,"2190 MCNICOLL AVE, -109",2023-07-12,Pass,2,,
1 HOTEL - HARRIET'S,Restaurant,550 WELLINGTON ST W,2023-03-14,Pass,3,,
1 HOTEL - HARRIET'S,Restaurant,550 WELLINGTON ST W,2023-06-26,Pass,3,,
1 HOTEL - HARRIET'S,Restaurant,550 WELLINGTON ST W,2023-11-16,Pass,3,,
1 HOTEL TORONTO - 1 KITCHEN,Restaurant,550 WELLINGTON ST W,2023-03-14,Pass,3,,
1 HOTEL TORONTO - 1 KITCHEN,Restaurant,550 WELLINGTON ST W,2023-06-26,Pass,3,,
1 HOTEL TORONTO - 1 KITCHEN,Restaurant,550 WELLINGTON ST W,2023-11-16,Pass,3,,
1 HOTEL TORONTO - CASA MADERA,Restaurant,550 WELLINGTON ST W,2023-03-14,Pass,3,,
1 HOTEL TORONTO - CASA MADERA,Restaurant,550 WELLINGTON ST W,2023-06-26,Pass,3,,
1 HOTEL TORONTO - CASA MADERA,Restaurant,550 WELLINGTON ST W,2023-11-16,Pass,3,,
1 HOTEL TORONTO - FLORA LOUNGE,Restaurant,550 WELLINGTON ST W,2023-03-14,Pass,3,,
1 HOTEL TORONTO - FLORA LOUNGE,Restaurant,550 WELLINGTON ST W,2023-06-26,Pass,3,,
1 HOTEL TORONTO - FLORA LOUNGE,Restaurant,550 WELLINGTON ST W,2023-11-16,Pass,3,,
1 HOTEL TORONTO - MAIN PRODUCTION KITCHEN,Restaurant,550 WELLINGTON ST W,2023-03-14,Pass,3,,
1 HOTEL TORONTO - MAIN PRODUCTION KITCHEN,Restaurant,550 WELLINGTON ST W,2023-06-26,Pass,3,,
1 HOTEL TORONTO - MAIN PRODUCTION KITCHEN,Restaurant,550 WELLINGTON ST W,2023-11-16,Pass,3,,
1 HOTEL TORONTO - STAFF CAFETERIA 'The Nest',Restaurant,550 WELLINGTON ST W,2023-03-14,Pass,2,,
1 HOTEL TORONTO - STAFF CAFETERIA 'The Nest',Restaurant,550 WELLINGTON ST W,2023-06-26,Pass,2,,
1 HOTEL TORONTO - STAFF CAFETERIA 'The Nest',Restaurant,550 WELLINGTON ST W,2023-11-16,Pass,2,,
1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE,2022-08-19,Pass,2,M - Minor,Notice to Comply
1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE,2023-06-20,Pass,2,S - Significant,Corrected During Inspection
1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE,2023-06-20,Pass,2,S - Significant,Corrected During Inspection
1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE,2023-06-20,Pass,2,M - Minor,Notice to Comply
1 PLUS 1 PIZZA,Food Take Out,361 OAKWOOD AVE,2023-06-20,Pass,2,M - Minor,Notice to Comply
100% Korean,Food Take Out,4779 STEELES AVE E,2022-11-30,Pass,2,NA - Not Applicable,Notice to Comply
100% Korean,Food Take Out,4779 STEELES AVE E,2023-05-01,Pass,2,,
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2022-08-22,Pass,2,S - Significant,Corrected During Inspection
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2022-08-22,Pass,2,M - Minor,Notice to Comply
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2022-08-22,Pass,2,S - Significant,Corrected During Inspection
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2022-08-22,Pass,2,S - Significant,Corrected During Inspection
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2022-09-07,Pass,2,M - Minor,Notice to Comply
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2023-04-03,Pass,2,NA - Not Applicable,Notice to Comply
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2023-12-08,Pass,2,NA - Not Applicable,Notice to Comply
100% SALVADORENO,Restaurant,612 TRETHEWEY DR,2023-12-08,Pass,2,M - Minor,Notice to Comply
1000 VARIETY,Food Store (Convenience/Variety),1000 PAPE AVE,2022-08-12,Pass,1,M - Minor,Notice to Comply
1000651511 ONTARIO INC,Food Take Out,"130 SPADINA AVE, Unit-102B",2023-11-07,Pass,2,,
10168734 CANADA INC.,Food Processing Plant,"50 WEYBRIGHT CRT, Unit-40",2022-09-13,Pass,3,S - Significant,Notice to Comply
10168734 CANADA INC.,Food Processing Plant,"50 WEYBRIGHT CRT, Unit-40",2022-09-13,Pass,3,S - Significant,Notice to Comply
10168734 CANADA INC.,Food Processing Plant,"50 WEYBRIGHT CRT, Unit-40",2022-09-13,Pass,3,M - Minor,Notice to Comply
10168734 CANADA INC.,Food Processing Plant,"50 WEYBRIGHT CRT, Unit-40",2022-09-23,Pass,3,,
10168734 CANADA INC.,Food Processing Plant,"50 WEYBRIGHT CRT, Unit-40",2023-04-03,Pass,3,,
10168734 CANADA INC.,Food Processing Plant,"50 WEYBRIGHT CRT, Unit-40",2023-08-14,Pass,3,,
10XTO,Food Take Out,107 PRINCES BLVD,2022-12-01,Pass,2,,
10tation Event Catering,Food Caterer,232 NORSEMAN ST,2022-09-08,Pass,3,M - Minor,Corrected During Inspection
10tation Event Catering,Food Caterer,232 NORSEMAN ST,2023-01-17,Pass,3,,
10tation Event Catering,Food Caterer,232 NORSEMAN ST,2023-05-08,Pass,3,,
10tation Event Catering,Food Caterer,232 NORSEMAN ST,2023-10-03,Pass,3,M - Minor,Notice to Comply
10tation Event Catering,Food Caterer,232 NORSEMAN ST,2023-10-03,Pass,3,S - Significant,Corrected During Inspection
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-02-07,Pass,3,,
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-06-02,Pass,3,,
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-10-05,Pass,3,M - Minor,Notice to Comply
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-10-05,Pass,3,M - Minor,Notice to Comply
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-10-05,Pass,3,S - Significant,Notice to Comply
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-10-05,Pass,3,M - Minor,Notice to Comply
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-10-05,Pass,3,M - Minor,Notice to Comply
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2023-10-06,Pass,3,,
11 MACEY AV,Community Kitchen (Meal Program),11 MACEY AVE,2024-01-18,Pass,3,M - Minor,Notice to Comply
117-CORKTOWN FRESH BURGER,Food Take Out,1 BLUE JAYS WAY,2023-04-26,Pass,2,,
117-CORKTOWN FRESH BURGER,Food Take Out,1 BLUE JAYS WAY,2023-07-20,Pass,2,,
117-T.O FOOTLONG HOTDOGS,Food Take Out,1 BLUE JAYS WAY,2022-06-16,Pass,2,,
117-T.O FOOTLONG HOTDOGS,Food Take Out,1 BLUE JAYS WAY,2023-04-26,Pass,2,,
117-T.O FOOTLONG HOTDOGS,Food Take Out,1 BLUE JAYS WAY,2023-07-20,Pass,2,,
119-BIG LEAGUES CLASSIC,Food Take Out,1 BLUE JAYS WAY,2022-06-16,Pass,2,,
119-BIG LEAGUES CLASSIC,Food Take Out,1 BLUE JAYS WAY,2023-04-26,Pass,2,,
119-BIG LEAGUES CLASSIC,Food Take Out,1 BLUE JAYS WAY,2023-07-24,Pass,2,,
11:59,Restaurant,"70 TEMPERANCE ST, Unit-1",2023-05-18,Pass,3,,
11:59,Restaurant,"70 TEMPERANCE ST, Unit-1",2023-09-15,Pass,3,S - Significant,Corrected During Inspection
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,S - Significant,Corrected During Inspection
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,M - Minor,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,S - Significant,Corrected During Inspection
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,M - Minor,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,M - Minor,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,M - Minor,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2022-10-07,Pass,3,NA - Not Applicable,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,S - Significant,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,S - Significant,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,S - Significant,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,NA - Not Applicable,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,M - Minor,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,S - Significant,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-09,Pass,3,M - Minor,Notice to Comply
12 TABLES,Restaurant,1552 AVENUE RD,2023-08-10,Pass,3,,
12 TABLES,Restaurant,1552 AVENUE RD,2023-12-21,Pass,3,S - Significant,Corrected During Inspection
12 TABLES,Restaurant,1552 AVENUE RD,2023-12-21,Pass,3,M - Minor,Notice to Comply
120 - T.O. FOOTLONG HOTDOGS,Food Take Out,1 BLUE JAYS WAY,2022-06-16,Pass,2,,
120 - T.O. FOOTLONG HOTDOGS,Food Take Out,1 BLUE JAYS WAY,2023-04-26,Pass,2,,
120 - T.O. FOOTLONG HOTDOGS,Food Take Out,1 BLUE JAYS WAY,2023-07-20,Pass,2,,
123-BIG LEAGUE CLASSICS,Food Take Out,1 BLUE JAYS WAY,2022-06-16,Pass,2,,
123-BIG LEAGUE CLASSICS,Food Take Out,1 BLUE JAYS WAY,2023-04-26,Pass,2,,
123-BIG LEAGUE CLASSICS,Food Take Out,1 BLUE JAYS WAY,2023-07-20,Pass,2,,
125 - THE CHEF'S PLATE,Food Take Out,1 BLUE JAYS WAY,2022-06-16,Pass,2,,
125 - THE CHEF'S PLATE,Food Take Out,1 BLUE JAYS WAY,2023-04-26,Pass,2,,
125 - THE CHEF'S PLATE,Food Take Out,1 BLUE JAYS WAY,2023-07-20,Pass,2,,
1265 BISTRO,Restaurant,"1265 MILITARY TRL, Flr-BASEMENT",2022-12-13,Pass,2,S - Significant,Corrected During Inspection
134 - Mary Brown's Chicken Express,Food Take Out,1 BLUE JAYS WAY,2022-06-16,Pass,2,,
134 - Mary Brown's Chicken Express,Food Take Out,1 BLUE JAYS WAY,2023-04-26,Pass,2,,
134 - Mary Brown's Chicken Express,Food Take Out,1 BLUE JAYS WAY,2023-07-20,Pass,2,,
137 - OPPO TACO CONC,Food Take Out,1 BLUE JAYS WAY,2022-06-16,Pass,2,,
137 - OPPO TACO CONC,Food Take Out,1 BLUE JAYS WAY,2023-04-26,Pass,2,,
137 - OPPO TACO CONC,Food Take Out,1 BLUE JAYS WAY,2023-07-20,Pass,2,,
147 ELDER ST INC.,Retirement Homes(Licensed),147 ELDER ST,2022-05-25,Pass,3,,
147 ELDER ST INC.,Retirement Homes(Licensed),147 ELDER ST,2023-01-17,Pass,3,,
147 ELDER ST INC.,Retirement Homes(Licensed),147 ELDER ST,2023-05-23,Pass,3,,
147 ELDER ST INC.,Retirement Homes(Licensed),147 ELDER ST,2023-09-29,Pass,3,,
149 TYNDALL HOUSE,Boarding / Lodging Home - Kitchen,149 TYNDALL AVE,2022-09-07,Pass,3,,
149 TYNDALL HOUSE,Boarding / Lodging Home - Kitchen,149 TYNDALL AVE,2023-01-27,Pass,3,,
149 TYNDALL HOUSE,Boarding / Lodging Home - Kitchen,149 TYNDALL AVE,2023-05-08,Pass,3,,
149 TYNDALL HOUSE,Boarding / Lodging Home - Kitchen,149 TYNDALL AVE,2023-09-19,Pass,3,,
149 TYNDALL HOUSE,Boarding / Lodging Home - Kitchen,149 TYNDALL AVE,2024-01-12,Pass,3,,
156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,2022-07-14,Pass,2,M - Minor,Notice to Comply
156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,2022-09-29,Pass,2,M - Minor,Notice to Comply
156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,2022-09-29,Pass,2,M - Minor,Notice to Comply
156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,2023-02-22,Pass,2,NA - Not Applicable,Notice to Comply
156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,2023-02-22,Pass,2,S - Significant,Corrected During Inspection
156 CUMBERLAND,Restaurant,156 CUMBERLAND ST,2023-02-22,Pass,2,M - Minor,Notice to Comply
1611 STUDIOS,Food Take Out,1611 DUNDAS ST W,2023-08-14,Pass,2,,
1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1",2022-09-22,Pass,2,C - Crucial,Notice to Comply
1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1",2022-09-22,Pass,2,S - Significant,Notice to Comply
1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1",2022-09-22,Pass,2,S - Significant,Notice to Comply
1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1",2022-09-22,Pass,2,S - Significant,Notice to Comply
1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1",2022-09-26,Pass,2,,
1688 DIM SUM,Food Processing Plant,"4227 SHEPPARD AVE E, Bldg-B1",2023-06-20,Pass,2,M - Minor,Notice to Comply
17 TILES,Food Store (Convenience/Variety),"556 YONGE ST, Bldg-FLOOR 2-3",2023-03-23,Pass,2,,
17 TILES,Food Store (Convenience/Variety),"556 YONGE ST, Bldg-FLOOR 2-3",2023-10-17,Pass,2,,
1775111 ONTARIO LIMITED,Bakery,2242 KINGSTON RD,2022-11-04,Pass,2,M - Minor,Notice to Comply
1775111 ONTARIO LIMITED,Bakery,2242 KINGSTON RD,2022-11-04,Pass,2,M - Minor,Notice to Comply
18 FEET,Restaurant,364 HURON ST,2023-01-19,Pass,2,S - Significant,Corrected During Inspection
18 FEET,Restaurant,364 HURON ST,2023-07-07,Pass,2,,
18 FEET,Restaurant,364 HURON ST,2024-01-09,Pass,2,S - Significant,Notice to Comply
18 FEET,Restaurant,364 HURON ST,2024-01-12,Pass,2,,
18 SMOKE SHOP & VARIETY,Food Store (Convenience/Variety),222 SPADINA AVE,2022-06-01,Pass,O,,
1800 BAR & LOUNGE TORONTO,Cocktail Bar / Beverage Room,"1800 DAVENPORT RD, Unit-4",2022-11-08,Pass,2,,
1800 BAR & LOUNGE TORONTO,Cocktail Bar / Beverage Room,"1800 DAVENPORT RD, Unit-4",2024-01-15,Pass,2,,
1858 BISTRO,Cafeteria - Private Access,8 ADELAIDE ST W,2022-10-27,Pass,3,M - Minor,Corrected During Inspection
1858 BISTRO,Cafeteria - Private Access,8 ADELAIDE ST W,2023-03-30,Pass,3,M - Minor,Notice to Comply
1858 BISTRO,Cafeteria - Private Access,8 ADELAIDE ST W,2023-08-23,Pass,3,,
1858 BISTRO,Cafeteria - Private Access,8 ADELAIDE ST W,2023-11-24,Pass,3,,
19 EATERY,Restaurant,19C FINCH AVE W,2022-09-23,Pass,3,M - Minor,Notice to Comply
19 EATERY,Restaurant,19C FINCH AVE W,2023-02-16,Pass,3,C - Crucial,Notice to Comply
19 EATERY,Restaurant,19C FINCH AVE W,2023-02-16,Pass,3,C - Crucial,Notice to Comply
19 EATERY,Restaurant,19C FINCH AVE W,2023-02-16,Pass,3,C - Crucial,Notice to Comply
19 EATERY,Restaurant,19C FINCH AVE W,2023-02-21,Pass,3,,
19 EATERY,Restaurant,19C FINCH AVE W,2023-07-31,Pass,3,S - Significant,Corrected During Inspection
19 EATERY,Restaurant,19C FINCH AVE W,2023-07-31,Pass,3,S - Significant,Corrected During Inspection
19 EATERY,Restaurant,19C FINCH AVE W,2023-07-31,Pass,3,M - Minor,Corrected During Inspection
19 EATERY,Restaurant,19C FINCH AVE W,2023-12-04,Pass,3,M - Minor,Corrected During Inspection
19 EATERY,Restaurant,19C FINCH AVE W,2023-12-04,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,S - Significant,Corrected During Inspection
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,S - Significant,Corrected During Inspection
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2022-06-13,Pass,3,S - Significant,Corrected During Inspection
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-04-03,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-04-03,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-04-03,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-07-01,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-07-01,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-07-01,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-12-01,Pass,3,M - Minor,Notice to Comply
1976 KITCHEN & BAR RESTAURANT,Restaurant,918 WILSON AVE,2023-12-01,Pass,3,M - Minor,Notice to Comply
19TH HOLE GRILL,Restaurant,550 CENTENNIAL PARK BLVD,2022-07-04,Pass,2,,
19TH HOLE GRILL,Restaurant,550 CENTENNIAL PARK BLVD,2023-04-17,Pass,2,M - Minor,Notice to Comply
19TH HOLE GRILL,Restaurant,550 CENTENNIAL PARK BLVD,2023-08-01,Pass,2,M - Minor,Notice to Comply
19TH HOLE SPORTS BAR AND GRILL,Restaurant,434 ROGERS RD,2022-06-15,Pass,2,M - Minor,Notice to Comply
19TH HOLE SPORTS BAR AND GRILL,Restaurant,434 ROGERS RD,2022-12-29,Pass,2,,
19TH HOLE SPORTS BAR AND GRILL,Restaurant,434 ROGERS RD,2023-05-12,Pass,2,,
19TH HOLE SPORTS BAR AND GRILL,Restaurant,434 ROGERS RD,2023-12-27,Pass,2,,
2 4 1 Pizza,Food Take Out,1383 DAVENPORT RD,2022-08-08,Pass,2,M - Minor,Notice to Comply
2 4 1 Pizza,Food Take Out,1383 DAVENPORT RD,2023-01-17,Pass,2,M - Minor,Notice to Comply
2 4 1 Pizza,Food Take Out,1383 DAVENPORT RD,2023-07-07,Pass,2,,
2 4 1 Pizza,Food Take Out,1383 DAVENPORT RD,2024-01-16,Pass,2,NA - Not Applicable,Notice to Comply
2 BROS CUISINE,Food Take Out,"1500 ROYAL YORK RD, UNIT-34",2022-06-28,Pass,2,,
2 BROS CUISINE,Food Take Out,"1500 ROYAL YORK RD, UNIT-34",2023-01-09,Pass,2,M - Minor,Notice to Comply
2 BROS CUISINE,Food Take Out,"1500 ROYAL YORK RD, UNIT-34",2023-07-05,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2022-05-26,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2022-05-26,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2022-10-27,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2022-10-27,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2022-10-27,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2023-03-07,Pass,2,,
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2023-08-30,Pass,2,M - Minor,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2023-08-30,Pass,2,NA - Not Applicable,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2023-08-30,Pass,2,S - Significant,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2023-08-30,Pass,2,S - Significant,Notice to Comply
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2023-08-30,Pass,2,S - Significant,Corrected During Inspection
2 BROTHERS SHAWARMA,Restaurant,2631 EGLINTON AVE W,2023-09-01,Pass,2,,
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2022-04-25,Pass,3,,
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2022-08-02,Pass,3,,
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2023-01-27,Pass,3,,
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2023-08-28,Pass,3,S - Significant,Corrected During Inspection
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2023-08-28,Pass,3,NA - Not Applicable,Notice to Comply
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2023-08-28,Pass,3,M - Minor,Notice to Comply
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2023-08-28,Pass,3,S - Significant,Corrected During Inspection
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2023-08-28,Pass,3,S - Significant,Corrected During Inspection
2 FOR 1 SHAWARMA,Restaurant,1106 BLOOR ST W,2023-11-09,Pass,3,,
2-4-1 PIZZA,Food Take Out,759 JANE ST,2022-05-05,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-03-15,Pass,2,NA - Not Applicable,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,M - Minor,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,S - Significant,Notice to Comply
2-4-1 PIZZA,Food Take Out,759 JANE ST,2023-08-24,Pass,2,S - Significant,Notice to Comply
